name,phone,email,address,city,category,website,rating,review_count,source
Forefront Consulting Group,+46841060000,,"Holländargatan 13, 111 36 Stockholm, Sweden",Stockholm,Consultant,https://www.forefront.se/,4.7,,google_maps
Netlight Consulting AB,+4686169940,,"Regeringsgatan 25, 111 53 Stockholm, Sweden",Stockholm,Computer consultant,https://www.netlight.com/,4.9,,google_maps
Mirado Consulting,,,"Tavastgatan 26B, 118 24 Stockholm, Sweden",Stockholm,Consultant,https://www.mirado.com/,,,google_maps
Cleeven Sc Stockholm (Consulting company),+46850126200,,"Malmskillnadsgatan 44a Epicenter, 111 57 Stockholm, Sweden",Stockholm,Engineering consultant,http://www.cleeven.com/,4.3,,google_maps
Delta Consulting AB,+46736857633,,"Torsplan 12, 113 65 Stockholm, Sweden",Stockholm,Recruiter,https://www.deltaconsulting.se/,5.0,,google_maps
NOX Consulting AB,,,"Gamla Brogatan 34, 111 20 Stockholm, Sweden",Stockholm,Consultant,,,,google_maps
Tata Consultancy Services Sverige AB,+46841009500,,"Mäster Samuelsgatan 42, 111 57 Stockholm, Sweden",Stockholm,Computer consultant,https://www.tcs.com/se-sv,4.6,,google_maps
TBR Consulting AB,+468315533,,"Norrtullsgatan 27A, 113 27 Stockholm, Sweden",Stockholm,Consultant,http://www.tbrconsulting.se/,5.0,,google_maps
Input Holding Stockholm AB,+4687000080,,"Kungsgatan 62, 111 22 Stockholm, Sweden",Stockholm,Computer consultant,http://www.input-consulting.se/,5.0,,google_maps
Sirocco Group,+46841092500,,"Drottninggatan 92, 2nd floor, 111 36 Stockholm, Sweden",Stockholm,Business management consultant,http://www.siroccogroup.com/,4.8,,google_maps
